% GOterm	enrichment_P-value
GO:0000209	1.55352460985661e-05
GO:0032872	3.05308699870935e-05
GO:0070302	3.37292641112515e-05
GO:0051403	0.000112919178368938
GO:0031098	0.000135456628486329
GO:0042770	0.00016678856881874
GO:0051091	0.000231141157119573
GO:0030193	0.00031814819913538
GO:0032874	0.000328795983091093
GO:0070304	0.000353162399902328
GO:1900046	0.000354461536262283
GO:0150117	0.000399125068083354
GO:0050818	0.000414361652329107
GO:0007266	0.000434512892614906
GO:0001701	0.000441017113429175
GO:0050878	0.000448616719081134
GO:0046328	0.0004801307238145
GO:1903050	0.000541044772837954
GO:0032092	0.000637231350235019
GO:0007596	0.000638743289954832
GO:0034110	0.000676165873575239
GO:0060306	0.000676165873575239
GO:0050817	0.000716529766532601
GO:0009895	0.000731494900443492
GO:0007599	0.000732931130797621
GO:0031330	0.000856040002796921
GO:0010749	0.000942131017645481
GO:0042060	0.000989146373241144
GO:0034109	0.00101141103890738
GO:0046330	0.00101141103890738
GO:2000058	0.00104184302885352
GO:0045765	0.00105991732914335
GO:1904668	0.00114801106591487
GO:2000169	0.00114801106591487
GO:1901342	0.00117238504036566
GO:0007254	0.00119001940439924
GO:0051099	0.00119001940439924
GO:0051090	0.0011927299119789
GO:0042176	0.00123202963786957
GO:0007528	0.00136456071587802
GO:0090331	0.00137344846187091
GO:0051348	0.00157393202773871
GO:0030195	0.00163294112130551
GO:0086009	0.00172920389963399
GO:1900047	0.00172920389963399
GO:0007565	0.00176999901276148
GO:0061136	0.00176999901276148
GO:0022407	0.00181488921023186
GO:0006939	0.00185861724827538
GO:0034111	0.00188226718666352
